JobID	Arrival Time	Avg MT	Avg RT	Num Map Tasks	Num RT	Min MT	Max MT	Deadline5	Deadline1 (Min Execution Time)	Deadline2	Deadline3	Deadilne4
job0	49	105	76.71225548	11.23574829	6	95	105	181.7122555	194.7	265.0683832	389.4	177
job1	101	105	76.71225548	11.23574829	6	95	105	181.7122555	194.7	265.0683832	389.4	177
job2	122	105	34.24711704	4.083724976	6	95	105	139.247117	148.5	201.3706756	297	135
job3	197	105	31.1478138	3.561737061	6	95	105	136.1478138	145.2	196.7217207	290.4	132
job4	208	105	338.2656717	55.28684998	6	95	105	443.2656717	482.9	657.3985076	965.8	439
job5	349	105	31.1478138	3.561737061	6	95	105	136.1478138	145.2	196.7217207	290.4	132
job6	373	105	236.3074827	38.11494446	6	95	105	341.3074827	370.7	504.4612241	741.4	337
job7	379	105	31.1478138	3.561737061	6	95	105	136.1478138	145.2	196.7217207	290.4	132
job8	463	105	208.6912584	33.46379089	6	95	105	313.6912584	339.9	463.0368876	679.8	309
job9	487	105	101.5138388	15.41285706	6	95	105	206.5138388	222.2	302.2707582	444.4	202
job10	497	105	11.77166462	0.29838562	6	95	105	116.7716646	123.2	167.6574969	246.4	112
job11	609	105	97.7129364	14.77270508	6	95	105	202.7129364	217.8	296.5694046	435.6	198
job12	666	105	97.7129364	14.77270508	6	95	105	202.7129364	217.8	296.5694046	435.6	198
job13	698	105	97.7129364	14.77270508	6	95	105	202.7129364	217.8	296.5694046	435.6	198
job14	724	105	11.49724007	0.252166748	6	95	105	116.4972401	123.2	167.2458601	246.4	112
job15	930	105	15.62004089	0.946533203	6	95	105	120.6200409	127.6	173.4300613	255.2	116
job16	1112	105	14.43989754	0.747772217	6	95	105	119.4398975	126.5	171.6598463	253	115
job17	1128	105	930896.4159	156	6	95	105	931001.4159	1024096.7	1396494.624	2048193.4	930997
job18	1180	105	14.43989754	0.747772217	6	95	105	119.4398975	126.5	171.6598463	253	115
job19	1185	105	432753.2043	728	6	95	105	432858.2043	476139.4	649279.8065	952278.8	432854
job20	1187	105	10.38305283	0.06451416	6	95	105	115.3830528	122.1	165.5745792	244.2	111
job21	1214	105	14.43989754	0.747772217	6	95	105	119.4398975	126.5	171.6598463	253	115
job22	1234	105	10	4	6	95	105	115	121	165	242	110
job23	1262	105	12.15607643	0.363128662	6	95	105	117.1560764	124.3	168.2341146	248.6	113
job24	1285	105	10	7	6	95	105	115	121	165	242	110
job25	1420	105	2097.594051	351.5947876	6	95	105	2202.594051	2417.8	3296.391077	4835.6	2198
job26	1453	105	108.2014084	16.53918457	6	95	105	213.2014084	229.9	312.3021126	459.8	209
job27	1496	105	82.88105488	12.27470398	6	95	105	187.8810549	201.3	274.3215823	402.6	183
job28	1525	105	24.52266693	2.445922852	6	95	105	129.5226669	137.5	186.7840004	275	125
job29	1665	105	22.39485741	2.087554932	6	95	105	127.3948574	135.3	183.5922861	270.6	123
job30	1669	105	22.39485741	2.087554932	6	95	105	127.3948574	135.3	183.5922861	270.6	123
job31	1700	105	94577.21092	150	6	95	105	94682.21092	104145.8	142015.8164	208291.6	94678
job32	1725	105	22.39485741	2.087554932	6	95	105	127.3948574	135.3	183.5922861	270.6	123
job33	1746	105	11.79920673	0.303024292	6	95	105	116.7992067	123.2	167.6988101	246.4	112
job34	1856	105	11.02467537	0.172576904	6	95	105	116.0246754	123.2	166.5370131	246.4	112
job35	1974	105	10.00706673	0.001190186	6	95	105	115.0070667	122.1	165.0106001	244.2	111
job36	1975	105	10.0096035	0.001617432	6	95	105	115.0096035	122.1	165.0144053	244.2	111
job37	1975	105	10.06822109	0.011489868	6	95	105	115.0682211	122.1	165.1023316	244.2	111
job38	1976	105	14.83943939	0.815063477	6	95	105	119.8394394	126.5	172.2591591	253	115
job39	1977	105	10.85308075	0.143676758	6	95	105	115.8530808	122.1	166.2796211	244.2	111
job40	1981	105	10.03578663	0.006027222	6	95	105	115.0357866	122.1	165.0536799	244.2	111
job41	2181	105	10.01141548	0.001922607	6	95	105	115.0114155	122.1	165.0171232	244.2	111
job42	2228	105	10.03252506	0.005477905	6	95	105	115.0325251	122.1	165.0487876	244.2	111
job43	2281	105	6312.422957	1061.460709	6	95	105	6417.422957	7054.3	9618.634436	14108.6	6413
job44	2323	105	10.02264977	0.003814697	6	95	105	115.0226498	122.1	165.0339747	244.2	111
job45	2647	105	62.95922756	8.919448853	6	95	105	167.9592276	179.3	244.4388413	358.6	163
job46	2684	105	119.8933077	18.50834656	6	95	105	224.8933077	242	329.8399616	484	220
job47	2752	105	59.07597065	8.265426636	6	95	105	164.0759707	176	238.613956	352	160
job48	2793	105	59.07597065	8.265426636	6	95	105	164.0759707	176	238.613956	352	160
job49	2826	105	59.07597065	8.265426636	6	95	105	164.0759707	176	238.613956	352	160
